Identifiant;Geo Point;Marque;Nom
39300005;46.74858,5.90567;Colruyt;STATION DATS
26800004;44.8751076983,4.87963116538;Casino;CASINO SUPERMARCHE
28300005;48.4726214995,1.5079671352;Intermarché;INTERMARCHE CHAMPHOL
27460003;49.31965,1.15606;Esso Express;ESSO IGOVILLE
36170001;46.44388,1.3953;Système U;Super U ST BENOIT DU SAULT
10600001;48.33265,4.02277;Géant;GEANT CASINO
16120001;45.5888488047,-0.0479840261882;Système U;Super U CHATEAUNEUF SUR CHARENTE
16100007;45.69203,-0.30931;Intermarché Contact;INTERMARCHE CONTACT COGNAC
18520001;47.0324685566,2.65503330951;Intermarché;INTERMARCHE AVORD
9100001;43.103242127,1.63057500893;Intermarché;SAS ALTIS PAMIERS
9200003;42.97935,1.1445;Indépendant sans enseigne;DEFA
13300008;43.63422,5.09078;Intermarché;INTERMARCHE SALON DE PROVENCE
13300005;43.64139,5.09743;Leclerc;Centre E. Leclerc SAS SALONDIS
13320008;43.45235,5.41539;Esso;Esso Cabriès
30130007;44.25818,4.64911;Total;Relais du lauzon
30000011;43.84772,4.39301;Intermarché;INTERMARCHE NIMES
31075001;43.6316659585,1.48256404804;Auchan;AUCHAN TOULOUSE
31120002;43.5242888169,1.39856785587;Elf;RELAIS ELF  PORTET SUR GARONNE STAR
31620007;43.7653748555,1.3699738694;Indépendant sans enseigne;Eurocentre FAL Distri
31270003;43.52515,1.32315;Carrefour Market;Carrefour Market
31420002;43.21025,0.89823;Indépendant sans enseigne;STATION SERVICE COUMATOU
35761001;48.1360105929,-1.69383824699;Géant;GEANT CASINO
41300003;47.3450295307,2.0487331666;Total;RELAIS SALBRIS LA LOGE
42153003;46.05465,4.06396;Intermarché;YVESCO
20218006;42.4600623621,9.20725961457;Esso;SARL LE RELAIS DU SAN PEDRONE
26300005;44.99903,5.00072;Esso Express;ESSO GRAND SOLEIL
33320007;44.89263,-0.66579;Total Access;TOTAL ACCESS RELAIS EYSINES STAR
33450006;44.87061,-0.43505;Casino;CASINO CARBURANT MONTUSSAN
35410002;48.0558792621,-1.52475508039;Netto;NETTO les Mousquetaires DOMLOUP CHATEAUGIRON
35400001;48.62853,-2.00496;Elf;RELAIS ELF  ST SERVAN LA BALLUE
40300003;43.5503,-1.12342;Carrefour Market;Carrefour Market -  Route de bayonne
16220001;45.66494,0.50095;Intermarché;INTERMARCHE MONTBRON
34170003;43.63789,3.92717;Intermarché;INTERMARCHE AUBEROUGE
35250001;48.26247,-1.61782;Système U;Super U ST AUBIN D'AUBIGNE
35700001;48.13115,-1.63306;Intermarché;INTERMARCHE RENNES
17100009;45.7474862192,-0.639631423467;Total;TOTAL
26140005;45.29926,4.81447;Leclerc;E. LECLERC
33400003;44.79521,-0.56783;Esso Express;ESSO BORDEAUX PYRENEES
33170002;44.77563,-0.59539;Avia;ANDRE OLLIVIER SARL
33310003;44.87922,-0.51792;Avia;Sarl sycalie
33320004;44.91602,-0.66446;Carrefour Market;Carrefour Market
44118003;47.09048,-1.61115;Carrefour Contact;CARREFOUR Contact
44240001;47.2841646929,-1.55192647611;Géant;GEANT CASINO
44330001;47.16868,-1.26708;Système U;Hyper U VALLET
38170002;45.16931,5.69103;Avia;PERCEVALIERE AUTO
43700001;45.0485869406,3.91624561443;Auchan;AUCHAN
43130001;45.211168187,4.03019857653;Intermarché;SAS JINCY  INTERMARCHE
