Identifiant;Marque;Nom;Latitude;Longitude
43200003;Indépendant sans enseigne;Station du col;45.097429207;4.05909483827
44300004;Avia;RUEE SARL Rte de Rennes;47.25825;-1.57983
44370005;Système U;Super U VARADES;47.38927;-1.0203
44390003;Système U;U NORT SUR ERDRE;47.437048289;-1.51709376221
44406001;Leclerc;SODIRETZ;47.19247;-1.57902
44570003;Total;RELAIS SAVINE;47.2931187077;-2.20901922574
45130004;Esso;ESSO MEUNG SUR LOIRE;47.61969;1.23717
45210002;Total;SARL PETRODOLLAR;48.06727;2.76633
46220003;Intermarché;INTERMARCHE PRAYSSAC;44.50171;1.18613
46400002;Leclerc;GRIMEN SA;44.86727;1.88722
45300006;Intermarché;INTERMARCHE;48.17132;2.23559
45430005;Intermarché Contact;INTERMARCHE CORBEILLES EN GATINA;48.05541;2.5281
46000006;Intermarché;1er INTERMARCHE cahors terre rouge;44.4616891028;1.45042536033
47430001;Carrefour;AIRE DU MAS D'AGENAIS;44.40462;0.18728
47550003;Esso;SARL RENAUD;44.18583;0.66298
45520002;BP;BP A10 AIRE DU BOIS PICARD GIDY;48.0291;1.87312
46160001;Total;SARL COUYBES;44.48692;1.84248
49000001;Géant;GEANT CASINO;47.46912;-0.52493
49120004;Leclerc;SAS CHEMILLE;47.2349226794;-0.722750035729
45430002;Total Access;RELAIS DE MARDIE;47.9075978017;2.06066757849
45430004;Leclerc;LECLERC CHECY;47.90593;2.03636
49412001;Leclerc;SAUMUR DISTRIBUTION;47.26217;-0.09006
50190001;Carrefour Market;Carrefour Market;49.1893533583;-1.40388981337
49400001;Total Access;RELAIS TOTAL   NANTILLY;47.2521074519;-0.0821182827172
49700001;Système U;Super U DOUE LA FONTAINE;47.18969;-0.29081
50200005;Intermarché;INTERMARCHE COUTANCES;49.0623;-1.43706
51000001;Carrefour;CARREFOUR CHALONS EN CHAMPAGNE;48.9424869967;4.38911136987
51000012;Total Access;RELAIS TOTAL ACCESS ST THIEBAULT;48.95588;4.36369
51100035;Total Access;TOTAL ACCESS  REIMS BREBANT;49.25775;4.01178
51370003;Indépendant sans enseigne;ECOMARCHE SAS ALIKEV;49.21872;3.96403
51470001;Avia;GARAGE PIGNY;48.9528554963;4.38194080999
51220001;Intermarché Contact;INTERMARCHE CONTACT;49.37051;3.88976
52500001;Avia;GARAGE GUENOT SARL;47.78441;5.61496
52700002;Intermarché;ECOMARCHE RIMAUCOURT;48.25051;5.32944
52100011;Intermarché;INTERMARCHE SAINT-DIZIER;48.64256;4.96897
52140005;Avia;STATION AVIA VAL DE MEUSE;47.9770453628;5.49885752632
52200010;Intermarché;INTERMARCHE SA BARVIN;47.87456;5.32348
56190004;Total;RELAIS DE MUZILLAC;47.5496067851;-2.46044113155
56270002;Total;RELAIS LANN BIHOUE;47.7365527344;-3.4293819575
56550002;Total;MR KERZERHO CHRISTOPHE;47.67582;-3.19691
56700001;Carrefour Market;Carrefour Market;47.8102922948;-3.26377974191
57000004;Total Access;RELAIS DU PORT MAZEROLLE;49.1298433927;6.16646092516
54700004;Agip;AGIP AIRE LOISY A31 sens NANCY-METZ;48.8633506162;6.09379437759
54800006;Total;TOTAL;49.15444;5.8916
56000005;Système U;U EXPRESS;47.63926;-2.776
54390002;Esso;ESSO LA GALOCHE MAILLEFERT SA;48.75813;6.13614
